trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
281,False,"{'a': 0.5, 'e': 0.059359424524750785}",20,5,27.92736121661323,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
282,False,"{'a': 0.5, 'e': 0.05876583027950327}",20,13,-7.039931793000946,"{0: 6, 1: 0, 2: 0, 3: 1, 4: 0}",1
283,False,"{'a': 0.5, 'e': 0.05817817197670824}",20,9,23.37265623294948,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
284,False,"{'a': 0.5, 'e': 0.05759639025694116}",20,8,24.420837533615185,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
285,False,"{'a': 0.5, 'e': 0.057020426354371746}",20,3,27.43064830538472,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
286,False,"{'a': 0.5, 'e': 0.05645022209082803}",20,4,18.871106275184555,"{0: 15, 1: 1, 2: 0, 3: 0, 4: 0}",1
287,False,"{'a': 0.5, 'e': 0.05588571986991975}",20,6,24.179512633015424,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
288,False,"{'a': 0.5, 'e': 0.05532686267122055}",20,6,25.060735388767906,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
289,False,"{'a': 0.5, 'e': 0.05477359404450834}",30,14,30.19077243724777,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
290,False,"{'a': 0.5, 'e': 0.05422585810406326}",20,8,1.0690078659870292,"{0: 11, 1: 0, 2: 0, 3: 1, 4: 0}",1
291,False,"{'a': 0.5, 'e': 0.05368359952302263}",25,7,25.435880664438862,"{0: 17, 1: 1, 2: 0, 3: 0, 4: 0}",1
292,False,"{'a': 0.5, 'e': 0.0531467635277924}",20,10,20.948078284155233,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
293,False,"{'a': 0.5, 'e': 0.05261529589251448}",20,10,14.523381763386269,"{0: 9, 1: 1, 2: 0, 3: 0, 4: 0}",1
294,False,"{'a': 0.5, 'e': 0.05208914293358933}",25,13,22.94723618189071,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
